date,party,prob
2020-05-05,Democrats,0.9337625
2020-05-05,Republicans,0.0662375
2020-05-06,Democrats,0.9325625
2020-05-06,Republicans,0.0674375
2020-05-07,Democrats,0.9282375
2020-05-07,Republicans,0.0717625
2020-05-08,Democrats,0.93805
2020-05-08,Republicans,0.06195
2020-05-09,Democrats,0.92225
2020-05-09,Republicans,0.07775
2020-05-10,Democrats,0.9209
2020-05-10,Republicans,0.0791
2020-05-11,Democrats,0.9186375
2020-05-11,Republicans,0.0813625
2020-05-12,Democrats,0.9262625
2020-05-12,Republicans,0.0737375
2020-05-13,Democrats,0.9106
2020-05-13,Republicans,0.0894
2020-05-14,Democrats,0.9107
2020-05-14,Republicans,0.0893
2020-05-15,Democrats,0.9108
2020-05-15,Republicans,0.0892
2020-05-16,Democrats,0.9107875
2020-05-16,Republicans,0.0892125
2020-05-17,Democrats,0.910275
2020-05-17,Republicans,0.089725
2020-05-18,Democrats,0.91345
2020-05-18,Republicans,0.08655
2020-05-19,Democrats,0.900275
2020-05-19,Republicans,0.099725
2020-05-20,Democrats,0.8991125
2020-05-20,Republicans,0.1008875
2020-05-21,Democrats,0.8967375
2020-05-21,Republicans,0.1032625
2020-05-22,Democrats,0.8801625
2020-05-22,Republicans,0.1198375
2020-05-23,Democrats,0.904
2020-05-23,Republicans,0.096
2020-05-24,Democrats,0.9024125
2020-05-24,Republicans,0.0975875
2020-05-25,Democrats,0.9017375
2020-05-25,Republicans,0.0982625
2020-05-26,Democrats,0.90465
2020-05-26,Republicans,0.09535
2020-05-27,Democrats,0.847675
2020-05-27,Republicans,0.152325
2020-05-28,Democrats,0.8535625
2020-05-28,Republicans,0.1464375
2020-05-29,Democrats,0.855025
2020-05-29,Republicans,0.144975
2020-05-30,Democrats,0.8557125
2020-05-30,Republicans,0.1442875
2020-05-31,Democrats,0.85205
2020-05-31,Republicans,0.14795
2020-06-01,Democrats,0.8625875
2020-06-01,Republicans,0.1374125
2020-06-02,Democrats,0.8628125
2020-06-02,Republicans,0.1371875
2020-06-03,Democrats,0.8414875
2020-06-03,Republicans,0.1585125
2020-06-04,Democrats,0.8477
2020-06-04,Republicans,0.1523
2020-06-05,Democrats,0.848825
2020-06-05,Republicans,0.151175
2020-06-06,Democrats,0.850675
2020-06-06,Republicans,0.149325
2020-06-07,Democrats,0.894275
2020-06-07,Republicans,0.105725
2020-06-08,Democrats,0.8975625
2020-06-08,Republicans,0.1024375
2020-06-09,Democrats,0.8883625
2020-06-09,Republicans,0.1116375
2020-06-10,Democrats,0.8965125
2020-06-10,Republicans,0.1034875
2020-06-11,Democrats,0.897575
2020-06-11,Republicans,0.102425
2020-06-12,Democrats,0.8977875
2020-06-12,Republicans,0.1022125
2020-06-13,Democrats,0.8977
2020-06-13,Republicans,0.1023
2020-06-14,Democrats,0.897425
2020-06-14,Republicans,0.102575
2020-06-15,Democrats,0.899825
2020-06-15,Republicans,0.100175
2020-06-16,Democrats,0.900125
2020-06-16,Republicans,0.099875
2020-06-17,Democrats,0.9259375
2020-06-17,Republicans,0.0740625
2020-06-18,Democrats,0.8812125
2020-06-18,Republicans,0.1187875
2020-06-19,Democrats,0.8825375
2020-06-19,Republicans,0.1174625
2020-06-20,Democrats,0.8823875
2020-06-20,Republicans,0.1176125
2020-06-21,Democrats,0.882075
2020-06-21,Republicans,0.117925
2020-06-22,Democrats,0.8822125
2020-06-22,Republicans,0.1177875
2020-06-23,Democrats,0.8901375
2020-06-23,Republicans,0.1098625
2020-06-24,Democrats,0.8905125
2020-06-24,Republicans,0.1094875
2020-06-25,Democrats,0.8902875
2020-06-25,Republicans,0.1097125
2020-06-26,Democrats,0.888625
2020-06-26,Republicans,0.111375
2020-06-27,Democrats,0.877225
2020-06-27,Republicans,0.122775
2020-06-28,Democrats,0.877025
2020-06-28,Republicans,0.122975
2020-06-29,Democrats,0.8768
2020-06-29,Republicans,0.1232
2020-06-30,Democrats,0.9305875
2020-06-30,Republicans,0.0694125
2020-07-01,Democrats,0.936025
2020-07-01,Republicans,0.063975
2020-07-02,Democrats,0.9320375
2020-07-02,Republicans,0.0679625
2020-07-03,Democrats,0.9315125
2020-07-03,Republicans,0.0684875
2020-07-04,Democrats,0.931025
2020-07-04,Republicans,0.068975
2020-07-05,Democrats,0.9296375
2020-07-05,Republicans,0.0703625
2020-07-06,Democrats,0.9287625
2020-07-06,Republicans,0.0712375
2020-07-07,Democrats,0.9283
2020-07-07,Republicans,0.0717
2020-07-08,Democrats,0.951775
2020-07-08,Republicans,0.048225
2020-07-09,Democrats,0.951425
2020-07-09,Republicans,0.048575
2020-07-10,Democrats,0.9499875
2020-07-10,Republicans,0.0500125
2020-07-11,Democrats,0.948625
2020-07-11,Republicans,0.051375
2020-07-12,Democrats,0.9475625
2020-07-12,Republicans,0.0524375
2020-07-13,Democrats,0.948175
2020-07-13,Republicans,0.051825
2020-07-14,Democrats,0.9469
2020-07-14,Republicans,0.0531
2020-07-15,Democrats,0.895025
2020-07-15,Republicans,0.104975
2020-07-16,Democrats,0.8942875
2020-07-16,Republicans,0.1057125
2020-07-17,Democrats,0.8933125
2020-07-17,Republicans,0.1066875
2020-07-18,Democrats,0.8933125
2020-07-18,Republicans,0.1066875
2020-07-19,Democrats,0.8938375
2020-07-19,Republicans,0.1061625
2020-07-20,Democrats,0.8957875
2020-07-20,Republicans,0.1042125
2020-07-21,Democrats,0.90146250000000006
2020-07-21,Republicans,0.0985375
2020-07-22,Democrats,0.9190875
2020-07-22,Republicans,0.0809125
2020-07-23,Democrats,0.88165
2020-07-23,Republicans,0.11835
2020-07-24,Democrats,0.950175
2020-07-24,Republicans,0.049825
2020-07-25,Democrats,0.949175
2020-07-25,Republicans,0.050825
2020-07-26,Democrats,0.9486875
2020-07-26,Republicans,0.0513125
